pH,tm
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7,15
7,15
7,15
7,15
7,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7,15
7,15
7,15
7,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7.8,15
7,15
6,15
7,15
7.8,15
7.5,16
3,16.6
7,17.2
7,18
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
7.4,20
8.4,20
7.2,20
8.1,20
9.6,20
8.4,20
7.2,20
8.1,20
9.6,20
7.2,20
8.4,20
8.1,20
9.6,20
7.4,20
7.4,20
7.4,20
9.6,20
8.1,20
9.6,20
8.1,20
8.4,20
7.2,20
9.6,20
8.1,20
7.2,20
8.4,20
6,20
7.2,20
7.4,20
7.4,20
7.4,20
7.4,20
8,20
8,20
8,20
8,20
8,20
8,20
8,20
8,20
8,20
8,20
5.2,20
5.2,20
5.2,20
5.2,20
8.5,20
8.5,20
7.1,20
7.1,20
7,20
7,20
7,20
7.2,20
7.2,20
7,20
7,20
7,20
7.5,20
7.5,20
6.5,20
2,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7.6,20
7,20
7,20
7,20
7.6,20
6.6,20
7,20
7,20
5.7,20
7,20
7,20
7,20
6,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
9.2,20
8.2,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.3,20
7,20
7,20
7,20
6.3,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.3,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
6.4,20
7,20
7,20
6.2,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.4,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
6.9,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
7,20
2,20
9.5,20
9.5,20
9.5,20
9.5,20
9.5,20
9.5,20
6.8,20
7,20
7.8,20
5.5,20
5.5,20
7.4,21.4
6.5,21.6
3.7,21.7
3.7,21.7
3.7,21.7
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7,22
7.5,22
7,22
7,22
7.1,22
7,22
7,22
7,22
7,22
7.4,22
7.4,22
7.4,22
3,22.3
6.2,22.5
6.2,22.5
6.2,22.5
4.5,22.5
3,22.5
2,22.7
3,22.7
3,22.8
3.25,22.8
7.8,23
7.8,23
7.8,23
7.8,23
7.5,23
7.5,23
7.5,23
2,23.1
2.1,23.1
2,23.3
7,23.4
7,23.5
6.7,23.6
7.5,23.6
7,23.8
2.02,23.8
5.5,23.9
6.1,24
6.1,24
6.1,24
7,24.1
7.5,24.1
6.3,24.1
5.8,24.4
5.8,24.4
5.8,24.4
5.8,24.4
7,24.5
6.4,24.5
6.6,24.9
6.6,24.9
6.6,24.9
6.6,24.9
6.6,24.9
6.6,24.9
6.6,24.9
6.6,24.9
7,24.9
7,24.9
7,24.9
2.8,24.9
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
7,25
7,25
5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
8.5,25
8.5,25
8.5,25
8.5,25
8.5,25
8.5,25
8.5,25
8.5,25
8.5,25
8,25
8,25
8,25
8,25
8,25
7.5,25
8,25
8,25
8,25
7,25
7,25
7,25
6.6,25
6.6,25
6.6,25
6.6,25
6.6,25
6.6,25
6.6,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.2,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
6.5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
5.9,25
5.5,25
5.5,25
5.9,25
5.9,25
5.5,25
7,25
7,25
7,25
7,25
7,25
6,25
6,25
3.6,25
3.6,25
3.6,25
6,25
6,25
6,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7.2,25
7,25
7,25
7,25
7,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.2,25
7.2,25
7,25
7.2,25
7,25
7.8,25
7.8,25
9,25
9,25
9,25
7,25
7.5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
6,25
6,25
6,25
6,25
6,25
6,25
6,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
5.5,25
5.2,25
5.2,25
5.2,25
5.2,25
5.2,25
5.2,25
5.2,25
5.2,25
5.5,25
5.4,25
5.2,25
5.2,25
7,25
7,25
7,25
9,25
9,25
7,25
9,25
7,25
7,25
7,25
7,25
7,25
7.8,25
7,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7,25
9,25
9,25
7,25
7,25
9,25
7,25
9,25
7,25
9,25
9,25
7,25
7,25
9,25
7.8,25
5.5,25
7,25
9,25
9,25
7,25
9,25
5.5,25
7,25
5.5,25
9,25
7,25
9,25
5.5,25
7,25
9,25
9,25
7,25
5.5,25
9,25
7,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.2,25
7.8,25
7,25
8,25
7,25
8,25
8,25
7,25
7.8,25
9,25
9,25
7.8,25
9,25
7.8,25
9,25
9,25
7.8,25
7.8,25
9,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
9,25
9,25
9,25
9,25
9,25
9,25
9,25
9,25
7,25
8,25
7,25
8,25
7,25
8,25
7,25
8,25
7,25
7,25
8,25
8,25
7,25
8,25
7,25
7.6,25
8,25
7,25
7.6,25
8,25
7,25
7.8,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
7.5,25
7.3,25
7.3,25
7.3,25
7.3,25
7.3,25
8,25
8,25
8,25
8,25
8,25
7,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
7,25
8,25
7,25
8,25
8,25
7,25
7,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
7,25
8,25
8,25
7,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
7.2,25
7.2,25
7.2,25
7.2,25
7.2,25
7.2,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7.5,25
7.5,25
7.4,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.8,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
3,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.8,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.8,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
2.7,25
7,25
7,25
7.2,25
7.2,25
7.2,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.6,25
7.6,25
7,25
7.4,25
8,25
7.4,25
8,25
8,25
7.6,25
7.6,25
7.6,25
7.4,25
7.4,25
7.6,25
7,25
7.5,25
7.5,25
7.5,25
8,25
8,25
8,25
8,25
7.2,25
8,25
8,25
8,25
7,25
7,25
8.7,25
8.7,25
8.7,25
2,25
3,25
8.7,25
8.7,25
8.7,25
5.4,25
8.7,25
8.7,25
8.7,25
2,25
8.7,25
8.7,25
8.7,25
8.7,25
8.7,25
8.7,25
7.4,25
5.4,25
5.5,25
6.7,25
5.5,25
5.5,25
5.4,25
5.5,25
5.4,25
9,25
5.5,25
5.5,25
9,25
5.5,25
5.5,25
6.4,25
9,25
5.5,25
5.5,25
9,25
5.5,25
9,25
9,25
9,25
9,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
6.3,25
6.3,25
6.3,25
6.3,25
6.7,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
4.4,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
4.4,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
4.4,25
5.3,25
5.5,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
5.3,25
5.5,25
4.4,25
6.3,25
6.3,25
6.3,25
4.4,25
5.9,25
6.3,25
7.3,25
7.4,25
7.7,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
7.3,25
7.4,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.5,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
4.4,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
6.3,25
5.8,25
4.4,25
6.3,25
6.3,25
6.3,25
6.2,25
6.3,25
5.9,25
7,25
7,25
7.5,25
7,25
7,25
7,25
7.5,25
7,25
7,25
7,25
7,25
7.5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7.4,25
7,25
4.8,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
6,25
7,25
7.4,25
8,25
5.4,25
3,25
5.4,25
5.4,25
5.4,25
6.7,25
6.7,25
6.7,25
6.7,25
6.7,25
6.7,25
5.4,25
5.4,25
3,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
3,25
5.4,25
3,25
5.7,25
5.7,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
3,25
3,25
5.4,25
5.4,25
5.4,25
5.4,25
3,25
3,25
5.4,25
6.5,25
5.4,25
5.7,25
5.4,25
3,25
5.4,25
5.4,25
3,25
5.4,25
5.4,25
6.5,25
3,25
5.4,25
3,25
3,25
3,25
5.4,25
3,25
3,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
3,25
5.4,25
5.4,25
5.7,25
3,25
3,25
3,25
3,25
3,25
5.4,25
5.4,25
3,25
5.4,25
5.4,25
3,25
7,25
5.4,25
3,25
3,25
3,25
3,25
3,25
3,25
3,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
5.4,25
6.8,25
6.8,25
6.8,25
6.8,25
6.8,25
6.8,25
6.8,25
6.8,25
7.8,25
7.8,25
7,25
7,25
7,25
7,25
7,25
7.7,25
7.7,25
7.4,25
7.4,25
7.4,25
7.4,25
8,25
8,25
7.8,25
8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
7.8,25
6.5,25
6.5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
7,25
7,25
7,25
7,25
7,25
8.3,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
2.7,25
2.7,25
2.7,25
2.7,25
7,25
7.1,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7.1,25
7,25
7.1,25
7.1,25
7.1,25
7.1,25
7,25
7,25
7,25
7,25
7,25
7,25
7.2,25
7.2,25
7.2,25
7.2,25
7.2,25
7,25
7.2,25
7.2,25
7,25
7.2,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.7,25
7.5,25
6.4,25
7.6,25
6.3,25
7.5,25
7.5,25
6.2,25
6.3,25
6.2,25
6.2,25
6.3,25
6.2,25
6.2,25
5.7,25
6.2,25
6.2,25
6.2,25
6.2,25
6.3,25
6.2,25
6.2,25
6.2,25
6.2,25
6.2,25
6.3,25
6.2,25
6.2,25
6.2,25
6.3,25
6.3,25
6.2,25
5.4,25
6.3,25
6.3,25
6.2,25
6.2,25
6.2,25
6.3,25
6.2,25
6.2,25
6.2,25
6.2,25
6.3,25
6.2,25
6.2,25
6.3,25
6.3,25
6.2,25
6.3,25
6.2,25
6.2,25
6.2,25
6.3,25
6.3,25
6.3,25
6.2,25
6.3,25
6.3,25
6.3,25
6.2,25
6.2,25
6.2,25
6.2,25
6.2,25
6.3,25
6.3,25
6.2,25
6.3,25
6.2,25
6.2,25
6.2,25
6.3,25
6,25
6.5,25
4.6,25
4.6,25
4.6,25
4.6,25
4.6,25
6.5,25
6,25
7,25
7,25
4.6,25
4.6,25
4.6,25
4.6,25
2.1,25
2.1,25
6,25
6,25
7,25
7,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
7.4,25
7.4,25
7.4,25
7.4,25
7.4,25
7.4,25
7.4,25
7.4,25
7,25
5.2,25
7,25
7,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
7.5,25
5,25
4,25
5.2,25
5,25
5.2,25
5,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7,25
7.6,25.1
7.6,25.1
5.2,25.2
2,25.5
2,25.6
5.2,25.6
7,25.8
7,25.8
4.8,25.9
7,26
7,26.1
4.5,26.2
6,26.4
7.3,26.7
3.25,26.7
7,26.8
2,26.8
4.6,26.9
4.6,26.9
7,27.1
2.2,27.1
7,27.3
6.3,27.3
6.6,27.4
3.5,27.5
7,27.6
2.4,27.7
7,27.9
6.1,27.9
7,27.9
7,28
7,28
3.7,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.5,28
5.6,28
5.6,28
7,28.3
7,28.3
2,28.3
2.1,28.4
6.6,28.6
5.7,28.6
3.25,28.7
6.3,28.8
8,28.8
6.8,28.9
6.8,28.9
10.4,28.9
5,29
8,29
6.2,29.2
3.75,29.2
7.2,29.3
7.2,29.3
7.2,29.3
7.2,29.3
5,29.4
7,29.4
6.6,29.6
6.6,29.6
7,29.6
2.34,29.6
6.7,29.7
7,29.7
6.3,29.8
7.3,29.9
5,30
7,30
7,30
7,30
7,30
7.1,30
7,30
7,30
7,30
6.2,30
7,30
7,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
7,30.1
7,30.1
7,30.2
7,30.2
7,30.2
7,30.2
6.7,30.3
2,30.3
7,30.4
5.5,30.4
5.5,30.4
5.5,30.4
5.6,30.4
4,30.4
7,30.5
7,30.7
7,30.7
7,30.7
7.4,30.8
7,30.9
7,30.9
2,30.9
2.4,30.9
7,31
2,31
2,31
4.6,31.1
7,31.2
7,31.2
7.5,31.2
5,31.2
6.5,31.2
7,31.2
7,31.3
2.4,31.3
3,31.3
7,31.3
7,31.3
7,31.4
7,31.4
8,31.4
7,31.4
3.5,31.4
7.5,31.5
7,31.5
6.5,31.5
7,31.5
4.25,31.5
7,31.6
7.8,31.6
7,31.7
7,31.7
7,31.7
3.5,31.7
7,31.7
7,31.8
7,31.8
7,31.8
7,31.8
7,31.8
6.3,31.8
7,31.9
7,31.9
7,31.9
7,32
7.8,32
7.8,32
4.5,32
4.5,32
7,32.1
7,32.1
6.3,32.1
6.3,32.1
6.3,32.1
6.3,32.1
6.3,32.1
6.3,32.1
7,32.1
7,32.2
7,32.2
7,32.2
7,32.2
7,32.2
7,32.3
2.4,32.3
7,32.3
7,32.3
7,32.4
7,32.4
7,32.4
3,32.4
7,32.4
2,32.4
7,32.4
7,32.4
7,32.5
7,32.5
6.6,32.5
7,32.5
7,32.5
6.3,32.5
6.3,32.5
7,32.5
7,32.5
7,32.5
7,32.6
7,32.6
7,32.6
7,32.7
7,32.7
7,32.7
7,32.7
7,32.7
7,32.8
2.4,32.8
2,32.8
7,32.9
7,32.9
7.6,32.9
7,32.9
7,33
7,33
7,33
7,33
7.5,33
6.3,33
7,33
,33
7,33.1
7,33.1
7,33.1
2,33.1
7,33.1
7,33.1
7,33.1
7,33.1
7,33.2
7,33.2
7,33.2
7.6,33.2
7,33.2
7,33.2
7,33.2
7,33.3
7,33.3
2.1,33.3
7,33.3
7,33.4
7,33.4
2.5,33.4
2.4,33.4
7,33.4
7.6,33.4
7,33.4
7,33.4
7,33.4
7,33.5
7,33.5
7,33.5
7.3,33.5
7.3,33.5
7.3,33.5
7,33.5
7,33.5
7.5,33.5
7,33.5
4.5,33.5
3.2,33.5
5,33.5
7,33.5
7,33.5
7,33.5
7,33.5
7,33.5
7,33.5
7,33.6
7,33.6
7,33.6
7,33.6
7,33.6
7,33.6
7,33.6
7,33.6
7,33.7
5,33.7
7,33.7
7,33.7
7,33.7
7,33.7
7,33.7
7,33.7
2,33.7
7,33.7
7,33.7
7,33.7
7,33.7
7,33.7
2.1,33.7
2.1,33.7
7,33.7
7,33.7
7,33.7
7,33.8
5,33.8
7,33.8
2.4,33.8
7,33.8
7,33.8
7,33.8
7,33.8
7,33.8
7,33.8
7,33.9
7,33.9
7,33.9
7,33.9
7,33.9
